userID,accm_txn_complete_time
1,5/13/2022 9:26
2,5/12/2022 19:05
3,5/14/2022 5:16
4,5/13/2022 14:06
5,5/12/2022 22:27
6,5/12/2022 7:57
7,5/12/2022 7:24
8,5/14/2022 6:22
9,5/13/2022 8:14
10,5/12/2022 3:13
11,5/13/2022 5:32
12,5/14/2022 20:41
13,5/13/2022 21:27
14,5/12/2022 16:19
15,5/14/2022 4:10
16,5/13/2022 2:31
17,5/12/2022 8:52
18,5/12/2022 21:56
19,5/13/2022 0:22
20,5/12/2022 14:54
21,5/13/2022 13:54
22,5/13/2022 20:43
23,5/14/2022 4:27
24,5/14/2022 1:45
25,5/14/2022 21:41
26,5/13/2022 9:49
27,5/12/2022 23:53
28,5/13/2022 17:42
29,5/14/2022 5:33
30,5/13/2022 15:32
31,5/14/2022 4:32
32,5/12/2022 20:38
33,5/12/2022 20:05
34,5/12/2022 18:38
35,5/14/2022 23:07
36,5/13/2022 1:31
37,5/13/2022 8:10
38,5/12/2022 2:42
39,5/14/2022 22:46
40,5/14/2022 16:23
41,5/12/2022 23:28
42,5/14/2022 22:52
43,5/14/2022 8:51
44,5/13/2022 21:34
45,5/13/2022 15:56
46,5/14/2022 23:39
47,5/13/2022 14:02
48,5/14/2022 16:43
49,5/13/2022 18:42
50,5/13/2022 10:41
51,5/12/2022 11:57
52,5/12/2022 2:51
53,5/12/2022 5:08
54,5/14/2022 1:34
55,5/14/2022 10:45
56,5/14/2022 5:01
57,5/13/2022 17:08
58,5/14/2022 13:28
59,5/14/2022 4:16
60,5/13/2022 0:29
61,5/12/2022 22:34
62,5/14/2022 6:30
63,5/14/2022 11:34
64,5/12/2022 8:47
65,5/12/2022 8:19
66,5/14/2022 7:40
67,5/13/2022 1:27
68,5/12/2022 22:15
69,5/13/2022 4:00
70,5/13/2022 8:17
71,5/12/2022 5:53
72,5/13/2022 15:04
73,5/12/2022 13:06
74,5/14/2022 0:11
75,5/14/2022 22:13
76,5/13/2022 7:21
77,5/12/2022 0:09
78,5/14/2022 21:03
79,5/13/2022 3:51
80,5/14/2022 6:16
81,5/14/2022 5:09
82,5/13/2022 1:29
83,5/13/2022 1:28
84,5/12/2022 22:03
85,5/13/2022 12:15
86,5/12/2022 23:45
87,5/14/2022 5:01
88,5/14/2022 7:03
89,5/12/2022 8:05
90,5/14/2022 23:18
