userID,movieID,rating,year,month,day,Date,actorID,genreMovieID,,,,
1,3,1,2006,10,29,10/29/2006,1,1,,,,
2,32,4.5,2006,10,29,10/29/2006,2,2,,,,
3,110,4,2006,10,29,10/29/2006,3,3,,,,
4,160,2,2006,10,29,10/29/2006,4,4,,,,
5,163,4,2006,10,29,10/29/2006,5,5,,,,
6,165,4.5,2006,10,29,10/29/2006,6,6,,,,
7,173,3.5,2006,10,29,10/29/2006,7,7,,,,
8,296,5,2006,10,29,10/29/2006,8,8,,,,
9,353,3.5,2006,10,29,10/29/2006,9,9,,,,
10,420,2,2006,10,29,10/29/2006,10,10,,,,
11,589,4,2006,10,29,10/29/2006,11,11,,,, 
12,653,3,2006,10,29,10/29/2006,12,12,,,,
13,832,4.5,2006,10,29,10/29/2006,13,13,,,,
14,920,0.5,2006,10,29,10/29/2006,14,14,,,,
15,996,4.5,2006,10,29,10/29/2006,15,15,,,,
16,1036,4,2006,10,29,10/29/2006,16,16,,,,
17,1127,3.5,2006,10,29,10/29/2006,17,17,,,,
18,1215,4.5,2006,10,29,10/29/2006,18,18,,,,
19,1233,4,2006,10,29,10/29/2006,19,19,,,,
20,1304,2.5,2006,10,29,10/29/2006,20,20,,,,
21,1370,4,2006,10,29,10/29/2006,21,21,,,,
22,1374,4,2006,10,29,10/29/2006,22,22,,,,
23,1485,4,2006,10,29,10/29/2006,23,23,,,,
24,1527,4.5,2006,10,29,10/29/2006,24,24,,,,
25,1917,2.5,2006,10,29,10/29/2006,25,25,,,,
26,2011,2,2006,10,29,10/29/2006,26,26,,,,
27,2054,1.5,2006,10,29,10/29/2006,27,27,,,,
28,2058,4,2006,10,29,10/29/2006,28,28,,,,
29,2490,4,2006,10,29,10/29/2006,29,29,,,,
30,2571,4.5,2006,10,29,10/29/2006,30,30,,,,
31,2640,3,2006,10,29,10/29/2006,31,31,,,,
32,2688,3,2006,10,29,10/29/2006,32,32,,,,
33,2700,4.5,2006,10,29,10/29/2006,33,33,,,,
34,2762,3.5,2006,10,29,10/29/2006,34,34,,,,
35,2959,4.5,2006,10,29,10/29/2006,35,35,,,,
36,3258,1.5,2006,10,29,10/29/2006,36,36,,,,
37,3793,3,2006,10,29,10/29/2006,37,37,,,,
38,3889,3,2006,10,29,10/29/2006,38,38,,,,
39,3994,3.5,2006,10,29,10/29/2006,39,39,,,,
40,4993,3.5,2006,10,29,10/29/2006,40,40,,,,
41,5107,3,2006,10,29,10/29/2006,41,41,,,,
42,5833,2.5,2006,10,29,10/29/2006,42,42,,,,
43,5952,3.5,2006,10,29,10/29/2006,43,43,,,,
44,6213,4,2006,10,29,10/29/2006,44,44,,,,
45,6225,0.5,2006,10,29,10/29/2006,45,45,,,,
46,6333,4,2006,10,29,10/29/2006,46,46,,,,
47,7000,3.5,2006,10,29,10/29/2006,47,47,,,,
48,7007,4.5,2006,10,29,10/29/2006,48,48,,,,
49,7153,3.5,2006,10,29,10/29/2006,49,49,,,,
50,32029,4.5,2006,10,29,10/29/2006,50,50,,,,
51,32587,5,2006,10,29,10/29/2006,51,51,,,,
