genreMovieID,genre
1,Adventure
2,Animation
3,Children
4,Comedy
5,Fantasy
6,Adventure
7,Children
8,Fantasy
9,Comedy
10,Romance
11,Comedy
12,Drama
13,Romance
14,Comedy
15,Action
16,Crime
17,Thriller
18,Comedy
19,Romance
20,Adventure
21,Children
22,Action
23,Action
24,Adventure
25,Thriller
26,Comedy
27,Drama
28,Romance
29,Comedy
30,Horror
31,Animation
32,Children
33,Drama
34,Action
35,Adventure
36,Romance
37,Crime
38,Drama
39,Comedy
40,Drama
41,Romance
42,Comedy
43,Drama
44,Thriller
45,Comedy
46,Action
47,Comedy
48,Crime
49,Drama
50,Thriller
51,Action
52,Comedy
53,Drama
54,Crime
55,Drama
56,Horror
57,Mystery
58,Thriller
59,Action
60,Crime
61,Thriller
62,Drama
63,Sci-Fi
64,Drama
65,Romance
66,Drama
67,Drama
68,Drama
69,Romance
70,Adventure
71,Drama
72,Fantasy
73,Mystery
74,Sci-Fi
75,Crime
76,Drama
77,Drama
78,Sci-Fi
79,Thriller
80,Adventure
81,IMAX
82,Romance
83,Children
84,Comedy
85,Drama
86,Fantasy
87,Drama
88,Romance
89,Crime
90,Drama
91,Documentary
92,IMAX
93,Comedy
94,Comedy
95,Romance
96,Drama
97,Drama
98,War
99,Action
100,Crime
101,Drama
102,Drama
103,Action
104,Adventure
105,Fantasy
106,Comedy
107,Drama
108,Thriller
109,Drama
110,Romance
111,Crime
112,Horror
113,Mystery
114,Thriller
115,Animation
116,Children
117,Musical
118,Romance
119,Drama
120,Romance
121,Crime
122,Mystery
123,Thriller
124,Comedy
125,Drama
126,Romance
127,Adventure
128,Drama
129,Children
130,Comedy
131,Drama
132,Adventure
133,Children
134,Fantasy
135,Drama
136,Comedy
137,Drama
138,Romance
139,Drama
140,Mystery
141,Adventure
142,Children
143,Fantasy
144,Drama
145,Thriller
146,Drama
147,Comedy
148,Crime
149,Comedy
150,Romance
151,Comedy
152,Action
153,Sci-Fi
154,Thriller
155,Drama
156,Comedy
157,Romance
158,Comedy
159,Action
160,Comedy
161,Horror
162,Thriller
163,Action
164,Comedy
165,Drama
166,Drama
167,War
168,Drama
169,Romance
170,Comedy
171,Drama
172,Action
173,Sci-Fi
174,Thriller
175,Documentary
176,Drama
177,Drama
178,Thriller
179,Children
180,Drama
181,Crime
182,Drama
183,Romance
184,Comedy
185,Drama
186,Drama
187,Comedy
188,Drama
189,Drama
190,Romance
191,Adventure
192,Drama
193,Children
194,Comedy
195,Comedy
196,Action
197,Thriller
198,Drama
199,Drama
200,Horror
201,Thriller
202,Comedy
203,Romance
204,Comedy
205,Drama
206,Romance
207,Action
208,Adventure
209,Thriller
210,Comedy
211,Drama
212,Drama
213,Action
214,Thriller
215,Documentary
216,Drama
217,Thriller
218,Adventure
219,Comedy
220,Crime
221,Romance
222,Comedy
223,Mystery
224,Sci-Fi
225,Thriller
226,Comedy
227,Drama
228,Romance
229,Comedy
230,Drama
231,Adventure
232,Children
233,Comedy
234,Musical
235,Action
236,Drama
237,War
238,Crime
239,Drama
240,Thriller
241,Action
242,Adventure
243,Comedy
244,Crime
245,Drama
246,Mystery
247,Drama
248,Comedy
249,Documentary
250,Crime
251,Drama
252,Comedy
253,Romance
254,Comedy
255,Drama
256,Drama
257,Comedy
258,Romance
259,Drama
260,Mystery
261,Romance
262,Drama
263,Comedy
264,Adventure
265,Children
266,Fantasy
267,Documentary
268,Comedy
269,Romance
270,Drama
271,Drama
272,Romance
273,Thriller
274,Documentary
275,Comedy
276,Documentary
277,Documentary
278,Action
279,Drama
280,Drama
281,Romance
282,Comedy
283,Drama
284,Comedy
285,Action
286,Adventure
287,Children
288,Drama
289,Drama
290,Crime
291,Drama
292,Thriller
293,Adventure
294,Drama
295,Action
296,Drama
297,Romance
298,War
299,Drama
300,Horror
301,Action
302,Adventure
303,Comedy
304,Crime
305,Drama
306,Adventure
307,Drama
308,War
309,Comedy
310,Drama
311,Comedy
312,War
313,Adventure
314,Children
315,Crime
316,Drama
317,Mystery
318,Action
319,Adventure
320,Mystery
321,Sci-Fi
322,Drama
323,Thriller
324,War
325,Documentary
326,Action
327,Romance
328,Thriller
329,Crime
330,Film-Noir
331,Mystery
332,Thriller
333,Action
334,Crime
335,Thriller
336,Comedy
337,Crime
338,Drama
339,Drama
340,Action
341,Drama
342,Romance
343,Adventure
344,Children
345,Drama
346,Action
347,Adventure
348,Crime
349,Thriller
350,Comedy
351,Drama
352,Action
353,Sci-Fi
354,Thriller
355,Action
356,Crime
357,Sci-Fi
358,Comedy
359,Drama
360,Comedy
361,Horror
362,Comedy
363,Drama
364,Drama
365,Romance
366,Comedy
367,Action
368,Children
369,Drama
370,Romance
371,Comedy
372,Horror
373,Thriller
374,Drama
375,Action
376,Crime
377,Thriller
378,Comedy
379,Romance
380,Comedy
381,Fantasy
382,Horror
383,Mystery
384,Comedy
385,Fantasy
386,Thriller
387,Drama
388,Romance
389,Drama
390,Comedy
391,Drama
392,Comedy
393,Drama
394,Romance
395,Horror
396,Sci-Fi
397,Drama
398,Action
399,Crime
400,Drama
401,Mystery
402,Sci-Fi
403,Thriller
404,Drama
405,Musical
406,Thriller
407,Drama
408,Drama
409,Romance
410,Comedy
411,Action
412,Comedy
413,Drama
414,Documentary
415,Drama
416,Romance
417,Action
418,Adventure
419,Sci-Fi
420,Drama
421,Western
422,Drama
423,Adventure
424,Comedy
425,Crime
426,Mystery
427,Drama
428,Drama
429,War
430,Drama
431,Romance
432,Comedy
433,Drama
434,Thriller
435,Comedy
436,Drama
437,Drama
438,Horror
439,Drama
440,Romance
441,Comedy
442,Comedy
443,Drama
444,Romance
445,Drama
446,Thriller
447,Thriller
448,Action
449,Thriller
450,Comedy
451,Drama
452,Thriller
453,Drama
454,Thriller
455,Comedy
456,Comedy
457,Drama
458,Romance
459,Drama
460,Comedy
461,Comedy
462,Drama
463,Action
464,Comedy
465,Romance
466,Comedy
467,Romance
468,Adventure
469,Children
470,Animation
471,Children
472,Comedy
473,Romance
474,Thriller
475,Children
476,Drama
477,Drama
478,Musical
479,Comedy
480,Animation
481,Children
482,Crime
483,Drama
484,Documentary
485,Crime
486,Drama
487,Fantasy
488,Romance
489,Thriller
490,Comedy
491,Drama
492,Romance
493,Children
494,Comedy
495,Action
496,Comedy
497,Romance
498,Drama
499,Horror
500,Drama
501,Comedy
502,Comedy
503,Sci-Fi
504,Mystery
505,Thriller
506,Adventure
507,Children
508,Comedy
509,Fantasy
510,Romance
511,Crime
512,Drama
513,Thriller
514,Action
515,Adventure
516,Sci-Fi
517,Drama
518,Children
519,Drama
520,Drama
521,Drama
522,Drama
523,Romance
524,Drama
525,Romance
526,War
527,Western
528,Comedy
529,Drama
530,Drama
531,Drama
532,Romance
533,Drama
534,Comedy
535,Drama
536,Drama
537,Horror
538,Comedy
539,Comedy
540,Comedy
541,Romance
542,Drama
543,Comedy
544,Drama
545,Drama
546,Thriller
547,Comedy
548,Drama
549,Romance
550,Drama
551,Crime
552,Drama
553,Action
554,Crime
555,Drama
556,Horror
557,Action
558,Sci-Fi
559,Thriller
560,Comedy
561,Romance
562,Action
563,Crime
564,Thriller
565,Comedy
566,Romance
567,Crime
568,Drama
569,Drama
570,Thriller
571,Action
572,Drama
573,Sci-Fi
574,Thriller
575,Crime
576,Drama
577,Romance
578,Thriller
579,Comedy
580,Romance
581,Comedy
582,Romance
583,Comedy
584,Crime
585,Drama
586,Drama
587,Comedy
588,Drama
589,Drama
590,Drama
591,Drama
592,Romance
593,Drama
594,Romance
595,Action
596,Adventure
597,Western
598,Comedy
599,Drama
600,Comedy
601,Drama
602,Drama
603,Comedy
604,Drama
605,Drama
606,Comedy
607,Comedy
608,Animation
609,Children
610,Children
611,Drama
612,Fantasy
613,Mystery
614,Action
615,Drama
616,Thriller
617,Action
618,Adventure
619,Sci-Fi
620,Comedy
621,Drama
622,Fantasy
623,Drama
624,Comedy
625,Drama
626,Thriller
627,Film-Noir
628,Thriller
629,Drama
630,Comedy
631,Drama
632,Comedy
633,Drama
634,Comedy
635,Drama
636,Action
637,Comedy
638,Musical
639,Sci-Fi
640,Horror
641,Thriller
642,Action
643,Adventure
644,Drama
645,Sci-Fi
646,Action
647,Crime
648,Horror
649,Drama
650,Horror
651,Sci-Fi
652,Comedy
653,Drama
654,Mystery
655,Thriller
656,Drama
657,War
658,Drama
659,Action
660,Sci-Fi
661,Thriller
662,Comedy
663,Romance
664,Adventure
665,Drama
666,War
667,Drama
668,Comedy
669,Children
670,Comedy
671,Comedy
672,Drama
673,Drama
674,Musical
675,Drama
676,Film-Noir
677,Comedy
678,Action
679,Adventure
680,Thriller
681,Drama
682,Mystery
683,Thriller
684,Comedy
685,Drama
686,Romance
687,Comedy
688,Action
689,Crime
690,Fantasy
691,Thriller
692,Drama
693,Children
694,Comedy
695,Fantasy
696,Comedy
697,Drama
698,Romance
699,War
700,Comedy
701,Romance
702,Drama
703,Comedy
704,Drama
705,Romance
706,Action
707,Comedy
708,Comedy
709,Drama
710,Romance
711,Adventure
712,Children
713,Romance
714,Documentary
715,Adventure
716,Animation
717,Children
718,Drama
719,Musical
720,Drama
721,Fantasy
722,Horror
723,Action
724,Comedy
725,Crime
726,Fantasy
727,Adventure
728,Comedy
729,Western
730,Drama
731,Action
732,Comedy
733,Comedy
734,Drama
735,Comedy
736,Drama
737,Romance
738,Thriller
739,Children
740,Comedy
741,Drama
742,Action
743,Thriller
744,Action
745,Romance
746,Thriller
747,Comedy
748,Romance
749,Action
750,Sci-Fi
751,Thriller
752,Action
753,Adventure
754,Comedy
755,Romance
756,Thriller
757,Drama
758,Drama
759,Horror
760,Romance
761,Thriller
762,Western
763,Action
764,Crime
765,Drama
766,Drama
767,Drama
768,Action
769,Comedy
770,Drama
771,Drama
772,Romance
773,War
774,Action
775,Comedy
776,Crime
777,Drama
778,Crime
779,Drama
780,Adventure
781,Animation
782,Action
783,Adventure
784,Fantasy
785,Comedy
786,Drama
787,Fantasy
788,Romance
789,Drama
790,Horror
791,Documentary
792,Action
793,Thriller
794,Comedy
795,Documentary
796,Action
797,Sci-Fi
798,Drama
799,Horror
800,Thriller
801,Drama
802,Drama
803,Comedy
804,Drama
805,Comedy
806,Comedy
807,Comedy
808,Thriller
809,Western
810,Comedy
811,Romance
812,Drama
813,Comedy
814,Action
815,Comedy
816,Crime
817,Thriller
818,Adventure
819,Children
820,Action
821,Thriller
822,Drama
823,Drama
824,Romance
825,Horror
826,Sci-Fi
827,Thriller
828,Drama
829,Mystery
830,Romance
831,Thriller
832,Drama
833,Comedy
834,Drama
835,Crime
836,Drama
837,Adventure
838,Comedy
839,Western
840,Comedy
841,Action
842,Adventure
843,Thriller
844,Comedy
845,Sci-Fi
846,Drama
847,Thriller
848,Comedy
849,Action
850,Comedy
851,Drama
852,Comedy
853,Romance
